strain	date	PPX_accession	PPX_accession__url	INSDC_accession	INSDC_accession__url	dataUseTerms	dataUseTerms__url	region	country	clades	old_nomenclature	insertion	author	accession	division
USA/PP_004F6U5.1/2020-01	2020-01-31 (2020-01-05 - 2020-01-31)	PP_004F6U5.1	https://pathoplexus.org/seq/PP_004F6U5.1	PV796881.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796881.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F6U5	Pittsburgh
USA/PP_004F6W1.1/2020-02	2020-02-24 (2020-02-01 - 2020-02-29)	PP_004F6W1.1	https://pathoplexus.org/seq/PP_004F6W1.1	PV796883.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796883.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F6W1	Pittsburgh
USA/PP_002K32L.1/2019-04-13	2019-04-13	PP_002K32L.1	https://pathoplexus.org/seq/PP_002K32L.1	PP947695.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947695.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002K32L	Washington
USA/PP_002KFQX.1/2019-05	2019-05-01 (2019-05-01 - 2019-05-28)	PP_002KFQX.1	https://pathoplexus.org/seq/PP_002KFQX.1	PV383338.1	https://www.ncbi.nlm.nih.gov/nuccore/PV383338.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Rangachar Srinivasa, V.; Griffith, M.; Sundermann, A.; Mills, E.; Raabe, N. J.; Shutt, K. A.; Phan, T.; Wang-Erickson, A.; Marsh, J.; Snyder, G.; Van Tyne, D.; Pless, L.; Harrison, L. H.; Waggle, K.	PP_002KFQX	Pittsburgh
USA/PP_004F5X0.1/2019-03	2019-03-31 (2019-03-04 - 2019-03-31)	PP_004F5X0.1	https://pathoplexus.org/seq/PP_004F5X0.1	PV796850.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796850.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F5X0	Pittsburgh
USA/PP_004F67E.1/2019-04	2019-04-01 (2019-04-01 - 2019-04-27)	PP_004F67E.1	https://pathoplexus.org/seq/PP_004F67E.1	PV796860.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796860.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F67E	Pittsburgh
USA/PP_002JZGY.1/2019-04-26	2019-04-26	PP_002JZGY.1	https://pathoplexus.org/seq/PP_002JZGY.1	PP947573.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947573.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002JZGY	Washington
USA/PP_004F69A.1/2019-04	2019-04-30 (2019-04-04 - 2019-04-30)	PP_004F69A.1	https://pathoplexus.org/seq/PP_004F69A.1	PV796862.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796862.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F69A	Pittsburgh
USA/PP_004F6MK.1/2019-05	2019-05-01 (2019-05-01 - 2019-05-28)	PP_004F6MK.1	https://pathoplexus.org/seq/PP_004F6MK.1	PV796874.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796874.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F6MK	Pittsburgh
USA/PP_004F9MG.1/2019-05	2019-05-31 (2019-05-04 - 2019-05-31)	PP_004F9MG.1	https://pathoplexus.org/seq/PP_004F9MG.1	PV796976.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796976.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F9MG	Pittsburgh
USA/PP_002K0FX.1/2020-02-26	2020-02-26	PP_002K0FX.1	https://pathoplexus.org/seq/PP_002K0FX.1	PP947606.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947606.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002K0FX	Washington
USA/PP_002K8ER.1/2020-02-16	2020-02-16	PP_002K8ER.1	https://pathoplexus.org/seq/PP_002K8ER.1	PQ634927.1	https://www.ncbi.nlm.nih.gov/nuccore/PQ634927.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Furlong, J.; Kim, H. G.; Greninger, A.	PP_002K8ER	Washington
Australia/PP_002JGXJ.2/2019-10-22	2019-10-22	PP_002JGXJ.2	https://pathoplexus.org/seq/PP_002JGXJ.2	OP904142.1	https://www.ncbi.nlm.nih.gov/nuccore/OP904142.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Tulloch, R. L.; Eden, J.-S.	PP_002JGXJ	
USA/PP_002K1XX.1/2019-06-24	2019-06-24	PP_002K1XX.1	https://pathoplexus.org/seq/PP_002K1XX.1	PP947656.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947656.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002K1XX	Washington
USA/PP_002K2LJ.1/2020-02-26	2020-02-26	PP_002K2LJ.1	https://pathoplexus.org/seq/PP_002K2LJ.1	PP947679.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947679.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002K2LJ	Washington
USA/PP_002K0W0.1/2019-03-19	2019-03-19	PP_002K0W0.1	https://pathoplexus.org/seq/PP_002K0W0.1	PP947621.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947621.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002K0W0	Washington
USA/PP_002K0ZU.1/2019-03-10	2019-03-10	PP_002K0ZU.1	https://pathoplexus.org/seq/PP_002K0ZU.1	PP947624.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947624.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002K0ZU	Washington
USA/PP_002JZE2.1/2019-03-22	2019-03-22	PP_002JZE2.1	https://pathoplexus.org/seq/PP_002JZE2.1	PP947571.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947571.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002JZE2	Washington
USA/PP_002K74C.1/2019-03-29	2019-03-29	PP_002K74C.1	https://pathoplexus.org/seq/PP_002K74C.1	PQ634883.1	https://www.ncbi.nlm.nih.gov/nuccore/PQ634883.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Furlong, J.; Kim, H. G.; Greninger, A.	PP_002K74C	Washington
USA/PP_002K7VV.1/2022-01-15	2022-01-15	PP_002K7VV.1	https://pathoplexus.org/seq/PP_002K7VV.1	PQ634908.1	https://www.ncbi.nlm.nih.gov/nuccore/PQ634908.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Furlong, J.; Kim, H. G.; Greninger, A.	PP_002K7VV	Washington
USA/PP_002K8AZ.1/2022-01-28	2022-01-28	PP_002K8AZ.1	https://pathoplexus.org/seq/PP_002K8AZ.1	PQ634923.1	https://www.ncbi.nlm.nih.gov/nuccore/PQ634923.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Furlong, J.; Kim, H. G.; Greninger, A.	PP_002K8AZ	Washington
USA/PP_002K70L.1/2022-03-27	2022-03-27	PP_002K70L.1	https://pathoplexus.org/seq/PP_002K70L.1	PQ634879.1	https://www.ncbi.nlm.nih.gov/nuccore/PQ634879.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Furlong, J.; Kim, H. G.; Greninger, A.	PP_002K70L	Washington
USA/PP_0049K0T.1/2022-03-01	2022-03-01	PP_0049K0T.1	https://pathoplexus.org/seq/PP_0049K0T.1	PX444093.1	https://www.ncbi.nlm.nih.gov/nuccore/PX444093.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Lauring, A. S.; Papalambros, L. K.	PP_0049K0T	
USA/PP_0049J8C.1/2022-02-26	2022-02-26	PP_0049J8C.1	https://pathoplexus.org/seq/PP_0049J8C.1	PX444067.1	https://www.ncbi.nlm.nih.gov/nuccore/PX444067.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Lauring, A. S.; Papalambros, L. K.	PP_0049J8C	
USA/PP_002JZYZ.1/2020-03-06	2020-03-06	PP_002JZYZ.1	https://pathoplexus.org/seq/PP_002JZYZ.1	PP947589.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947589.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002JZYZ	Washington
USA/PP_002JZQF.1/2020-03-04	2020-03-04	PP_002JZQF.1	https://pathoplexus.org/seq/PP_002JZQF.1	PP947581.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947581.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002JZQF	Washington
USA/PP_002JZF0.1/2020-02-23	2020-02-23	PP_002JZF0.1	https://pathoplexus.org/seq/PP_002JZF0.1	PP947572.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947572.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002JZF0	Washington
USA/PP_002K12N.1/2020-02-27	2020-02-27	PP_002K12N.1	https://pathoplexus.org/seq/PP_002K12N.1	PP947627.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947627.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002K12N	Washington
USA/PP_002JZAA.1/2020-03-04	2020-03-04	PP_002JZAA.1	https://pathoplexus.org/seq/PP_002JZAA.1	PP947567.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947567.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002JZAA	Washington
USA/PP_002KFVM.1/2018-03	2018-03-31 (2018-03-04 - 2018-03-31)	PP_002KFVM.1	https://pathoplexus.org/seq/PP_002KFVM.1	PV383343.1	https://www.ncbi.nlm.nih.gov/nuccore/PV383343.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Rangachar Srinivasa, V.; Griffith, M.; Sundermann, A.; Mills, E.; Raabe, N. J.; Shutt, K. A.; Phan, T.; Wang-Erickson, A.; Marsh, J.; Snyder, G.; Van Tyne, D.; Pless, L.; Harrison, L. H.; Waggle, K.	PP_002KFVM	Pittsburgh
USA/PP_004F8B4.1/2018-02	2018-02-01 (2018-02-01 - 2018-02-25)	PP_004F8B4.1	https://pathoplexus.org/seq/PP_004F8B4.1	PV796932.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796932.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F8B4	Pittsburgh
USA/PP_002YUJ4.1/2023-03-24	2023-03-24	PP_002YUJ4.1	https://pathoplexus.org/seq/PP_002YUJ4.1	PV763185.1	https://www.ncbi.nlm.nih.gov/nuccore/PV763185.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Kim, H. G.; Greninger, A.	PP_002YUJ4	Oregon
USA/PP_002JZB8.1/2020-03-08	2020-03-08	PP_002JZB8.1	https://pathoplexus.org/seq/PP_002JZB8.1	PP947568.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947568.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002JZB8	Washington
Australia/PP_002JDEN.2/2019-09-21	2019-09-21	PP_002JDEN.2	https://pathoplexus.org/seq/PP_002JDEN.2	OP904023.1	https://www.ncbi.nlm.nih.gov/nuccore/OP904023.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Tulloch, R. L.; Eden, J.-S.	PP_002JDEN	
Australia/PP_002JDCS.2/2019-09-17	2019-09-17	PP_002JDCS.2	https://pathoplexus.org/seq/PP_002JDCS.2	OP904021.1	https://www.ncbi.nlm.nih.gov/nuccore/OP904021.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Tulloch, R. L.; Eden, J.-S.	PP_002JDCS	
Australia/PP_002JDP3.2/2019-09-23	2019-09-23	PP_002JDP3.2	https://pathoplexus.org/seq/PP_002JDP3.2	OP904032.1	https://www.ncbi.nlm.nih.gov/nuccore/OP904032.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Tulloch, R. L.; Eden, J.-S.	PP_002JDP3	
USA/PP_004F6S9.1/2020-01	2020-01-01 (2020-01-01 - 2020-01-28)	PP_004F6S9.1	https://pathoplexus.org/seq/PP_004F6S9.1	PV796879.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796879.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F6S9	Pittsburgh
USA/PP_004F9KL.1/2019-05	2019-05-31 (2019-05-04 - 2019-05-31)	PP_004F9KL.1	https://pathoplexus.org/seq/PP_004F9KL.1	PV796974.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796974.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F9KL	Pittsburgh
USA/PP_004F9WY.1/2020-01	2020-01-01 (2020-01-01 - 2020-01-27)	PP_004F9WY.1	https://pathoplexus.org/seq/PP_004F9WY.1	PV796985.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796985.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F9WY	Pittsburgh
USA/PP_004F6ZV.1/2020-02	2020-02-01 (2020-02-01 - 2020-02-29)	PP_004F6ZV.1	https://pathoplexus.org/seq/PP_004F6ZV.1	PV796886.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796886.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F6ZV	Pittsburgh
USA/PP_004FA3J.1/2020-03	2020-03-31 (2020-03-06 - 2020-03-31)	PP_004FA3J.1	https://pathoplexus.org/seq/PP_004FA3J.1	PV796992.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796992.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004FA3J	Pittsburgh
Australia/PP_002JDAW.2/2019-09-15	2019-09-15	PP_002JDAW.2	https://pathoplexus.org/seq/PP_002JDAW.2	OP904019.1	https://www.ncbi.nlm.nih.gov/nuccore/OP904019.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Tulloch, R. L.; Eden, J.-S.	PP_002JDAW	
USA/PP_002JZSB.1/2019-12-04	2019-12-04	PP_002JZSB.1	https://pathoplexus.org/seq/PP_002JZSB.1	PP947583.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947583.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002JZSB	Washington
USA/PP_002K875.1/2022-04-09	2022-04-09	PP_002K875.1	https://pathoplexus.org/seq/PP_002K875.1	PQ634920.1	https://www.ncbi.nlm.nih.gov/nuccore/PQ634920.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Furlong, J.; Kim, H. G.; Greninger, A.	PP_002K875	Washington
USA/PP_002KBL9.2/2021-12-01	2021-12-01	PP_002KBL9.2	https://pathoplexus.org/seq/PP_002KBL9.2	PV052204.1	https://www.ncbi.nlm.nih.gov/nuccore/PV052204.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Goya, S.; Nunley, E. B.; Longley, P. C.; Mathis, J. R.; Varela, C. G.; Kim, D. Y.; Nurik, M.; Naccache, S. N.; Greninger, A. L.; Nunley, E.; Marc, N.	PP_002KBL9	Washington
USA/PP_002K8GM.1/2022-06-03	2022-06-03	PP_002K8GM.1	https://pathoplexus.org/seq/PP_002K8GM.1	PQ634929.1	https://www.ncbi.nlm.nih.gov/nuccore/PQ634929.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Furlong, J.; Kim, H. G.; Greninger, A.	PP_002K8GM	Washington
USA/PP_004F6JR.1/2019-04	2019-04-01 (2019-04-01 - 2019-04-27)	PP_004F6JR.1	https://pathoplexus.org/seq/PP_004F6JR.1	PV796871.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796871.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F6JR	Pittsburgh
USA/PP_004F9LJ.1/2019-05	2019-05-31 (2019-05-04 - 2019-05-31)	PP_004F9LJ.1	https://pathoplexus.org/seq/PP_004F9LJ.1	PV796975.1	https://www.ncbi.nlm.nih.gov/nuccore/PV796975.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Pless, L. L.; Damodaron, L.; Pomponio, R.; Patrick, R.; Griffith, M. P.; Walters, S.; Waggle, K. D.; Pleskovitch, A.; Rangachar Srinivasa, V.; Varela, C. A.; Harrison, L. H.; Barton, J. P.; Moncla, L. H.; Michaels, M. G.; Williams, J. V.; Wang-Erickson, A. F.; Wang-Erickson, A.	PP_004F9LJ	Pittsburgh
USA/PP_002JZC6.1/2020-01-07	2020-01-07	PP_002JZC6.1	https://pathoplexus.org/seq/PP_002JZC6.1	PP947569.1	https://www.ncbi.nlm.nih.gov/nuccore/PP947569.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Sereewit, J.; Kim, H. G.; Greninger, A.	PP_002JZC6	Washington
USA/PP_002K883.1/2020-02-03	2020-02-03	PP_002K883.1	https://pathoplexus.org/seq/PP_002K883.1	PQ634921.1	https://www.ncbi.nlm.nih.gov/nuccore/PQ634921.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Roychoudhury, P.; Xie, H.; Furlong, J.; Kim, H. G.; Greninger, A.	PP_002K883	Washington
Kenya/PP_0049ZAT.1/2021-04-13	2021-04-13	PP_0049ZAT.1	https://pathoplexus.org/seq/PP_0049ZAT.1	PX279665.1	https://www.ncbi.nlm.nih.gov/nuccore/PX279665.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Africa	Kenya	B1	B1	False	Okanda, D.; Odoyo, S.; Kiprono, H.; Katama, E.; Maina, G.; Mutunga, M.; Lewa, C.; Cheruiyot, R.; Nyiro, J.; Agoti, C.; Githinji, G.	PP_0049ZAT	Kilifi
Kenya/PP_0049ZDM.1/2021-01-03	2021-01-03	PP_0049ZDM.1	https://pathoplexus.org/seq/PP_0049ZDM.1	PX279668.1	https://www.ncbi.nlm.nih.gov/nuccore/PX279668.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Africa	Kenya	B1	B1	False	Okanda, D.; Odoyo, S.; Kiprono, H.; Katama, E.; Maina, G.; Mutunga, M.; Lewa, C.; Cheruiyot, R.; Nyiro, J.; Agoti, C.; Githinji, G.	PP_0049ZDM	Kilifi
Kenya/PP_0049ZCP.1/2021-09-09	2021-09-09	PP_0049ZCP.1	https://pathoplexus.org/seq/PP_0049ZCP.1	PX279667.1	https://www.ncbi.nlm.nih.gov/nuccore/PX279667.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Africa	Kenya	B1	B1	False	Okanda, D.; Odoyo, S.; Kiprono, H.; Katama, E.; Maina, G.; Mutunga, M.; Lewa, C.; Cheruiyot, R.; Nyiro, J.; Agoti, C.; Githinji, G.	PP_0049ZCP	Kilifi
Kenya/PP_0047WLD.1/2021-06-09	2021-06-09	PP_0047WLD.1	https://pathoplexus.org/seq/PP_0047WLD.1	PX120316.1	https://www.ncbi.nlm.nih.gov/nuccore/PX120316.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Africa	Kenya	B1	B1	False	Mwasya, S.; Okanda, D.; Odoyo, S.; Katama, E.; Mutunga, M.; Lambisia, A.; Githinji, G.; Agoti, C. C.	PP_0047WLD	
Kenya/PP_0049ZEK.1/2021-06-09	2021-06-09	PP_0049ZEK.1	https://pathoplexus.org/seq/PP_0049ZEK.1	PX279669.1	https://www.ncbi.nlm.nih.gov/nuccore/PX279669.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Africa	Kenya	B1	B1	False	Okanda, D.; Odoyo, S.; Kiprono, H.; Katama, E.; Maina, G.; Mutunga, M.; Lewa, C.; Cheruiyot, R.; Nyiro, J.; Agoti, C.; Githinji, G.	PP_0049ZEK	Kilifi
