strain	date	clade	region	country	host	author	accession	accession__url
MW158365	2008-12-05	Clade VI	South America	Trinidad and Tobago	Mansonia titillans	Queiroz et al.	MW158365	https://www.ncbi.nlm.nih.gov/nuccore/MW158365
MF347613	2017-01-01 (2017-01-01 - 2017-11-22)	Clade VI	South America	Suriname	Homo sapiens	Oude Munnink et al.	MF347613	https://www.ncbi.nlm.nih.gov/nuccore/MF347613
PQ186343	1998-04-16	Clade VI	South America	Brazil	Homo sapiens	Zhang et al.	PQ186343	https://www.ncbi.nlm.nih.gov/nuccore/PQ186343
JF912189	2001-12-31 (2001-02-23 - 2001-12-31)	Clade VI	South America	Brazil	Haemagogus leucocelaenus	Nunes et al.	JF912189	https://www.ncbi.nlm.nih.gov/nuccore/JF912189
ON022718	2000-04-27	Clade VI	South America	Brazil	Homo sapiens	Hill et al.	ON022718	https://www.ncbi.nlm.nih.gov/nuccore/ON022718
MW158342	2000-02-07	Clade VI	South America	Brazil	Alouatta sp.	Queiroz et al.	MW158342	https://www.ncbi.nlm.nih.gov/nuccore/MW158342
MG969501	2001-03-07	Clade VI	South America	Brazil	Homo sapiens	Bonaldo et al.	MG969501	https://www.ncbi.nlm.nih.gov/nuccore/MG969501
JF912187	2000-12-31 (2000-02-22 - 2000-12-31)	Clade VI	South America	Brazil	Homo sapiens	Nunes et al.	JF912187	https://www.ncbi.nlm.nih.gov/nuccore/JF912187
JF912188	2000-01-01 (2000-01-01 - 2000-10-19)	Clade VI	South America	Brazil	Homo sapiens	Nunes et al.	JF912188	https://www.ncbi.nlm.nih.gov/nuccore/JF912188
MH018101	2003-08-15	Clade VI	South America	Brazil	Homo sapiens	Faria et al.	MH018101	https://www.ncbi.nlm.nih.gov/nuccore/MH018101
MH018100	2003-03-15	Clade VI	South America	Brazil	Homo sapiens	Faria et al.	MH018100	https://www.ncbi.nlm.nih.gov/nuccore/MH018100
ON022720	2000-01-18	Clade VI	South America	Brazil	Homo sapiens	Hill et al.	ON022720	https://www.ncbi.nlm.nih.gov/nuccore/ON022720
ON022717	2000-01-18	Clade VI	South America	Brazil	Homo sapiens	Hill et al.	ON022717	https://www.ncbi.nlm.nih.gov/nuccore/ON022717
JF912190	2002-01-01 (2002-01-01 - 2002-11-18)	Clade VI	South America	Brazil	Homo sapiens	Nunes et al.	JF912190	https://www.ncbi.nlm.nih.gov/nuccore/JF912190
KY861728	2008-02-09	Clade VI	South America	Brazil	Alouatta	Bonaldo et al.	KY861728	https://www.ncbi.nlm.nih.gov/nuccore/KY861728
PP869889	2024-01-31 (2024-01-04 - 2024-01-31)	Clade VI	South America	Colombia	Homo sapiens	Pardo et al.	PP869889	https://www.ncbi.nlm.nih.gov/nuccore/PP869889
MF370543	2017-03-03	Clade VI	South America	Brazil	Alouatta sp.	Cruz et al.	MF370543	https://www.ncbi.nlm.nih.gov/nuccore/MF370543
PQ276810	2022-06-15	Clade VI	South America	Brazil	Haemagogus janthinomys	Bernardi et al.	PQ276810	https://www.ncbi.nlm.nih.gov/nuccore/PQ276810
MW158350	2004-06-15 (2004-01-01 - 2004-12-31)	Clade VI	South America	Venezuela	Alouatta seniculus	Queiroz et al.	MW158350	https://www.ncbi.nlm.nih.gov/nuccore/MW158350
KM388817	2004-06-19 (2004-01-01 - 2004-12-31)	Clade VI	South America	Venezuela	Alouatta seniculus	Auguste et al.	KM388817	https://www.ncbi.nlm.nih.gov/nuccore/KM388817
MW158357	2010-04-18 (2010-01-01 - 2010-12-31)	Clade VI	South America	Venezuela	Alouatta seniculus	Queiroz et al.	MW158357	https://www.ncbi.nlm.nih.gov/nuccore/MW158357
KM388816	2010-04-23 (2010-01-01 - 2010-12-31)	Clade VI	South America	Venezuela	Alouatta seniculus	Auguste et al.	KM388816	https://www.ncbi.nlm.nih.gov/nuccore/KM388816
MW158354	2005-01-01 (2005-01-01 - 2005-09-29)	Clade VI	South America	Venezuela	Homo sapiens	Queiroz et al.	MW158354	https://www.ncbi.nlm.nih.gov/nuccore/MW158354
KM388814	2005-01-01 (2005-01-01 - 2005-10-22)	Clade VI	South America	Venezuela	Homo sapiens	Auguste et al.	KM388814	https://www.ncbi.nlm.nih.gov/nuccore/KM388814
PQ186351	2005-10-21 (2005-01-01 - 2005-12-31)	Clade VI	South America	Venezuela	Homo sapiens	Zhang et al.	PQ186351	https://www.ncbi.nlm.nih.gov/nuccore/PQ186351
MW158353	2005-10-21 (2005-01-01 - 2005-12-31)	Clade VI	South America	Venezuela	Homo sapiens	Queiroz et al.	MW158353	https://www.ncbi.nlm.nih.gov/nuccore/MW158353
MW158356	2007-02-28 (2007-01-01 - 2007-12-31)	Clade VI	South America	Venezuela	Alouatta seniculus	Queiroz et al.	MW158356	https://www.ncbi.nlm.nih.gov/nuccore/MW158356
KM388815	2007-12-31 (2007-04-15 - 2007-12-31)	Clade VI	South America	Venezuela	Alouatta seniculus	Auguste et al.	KM388815	https://www.ncbi.nlm.nih.gov/nuccore/KM388815
MW158351	2005-01-01 (2005-01-01 - 2005-09-29)	Clade VI	South America	Venezuela	Alouatta seniculus	Queiroz et al.	MW158351	https://www.ncbi.nlm.nih.gov/nuccore/MW158351
MW158352	2005-01-01 (2005-01-01 - 2005-09-28)	Clade VI	South America	Venezuela	Alouatta seniculus	Queiroz et al.	MW158352	https://www.ncbi.nlm.nih.gov/nuccore/MW158352
MW158355	2006-09-15 (2006-01-01 - 2006-12-31)	Clade VI	South America	Venezuela	Alouatta seniculus	Queiroz et al.	MW158355	https://www.ncbi.nlm.nih.gov/nuccore/MW158355
KM388818	2006-12-31 (2006-07-08 - 2006-12-31)	Clade VI	South America	Venezuela	Alouatta seniculus	Auguste et al.	KM388818	https://www.ncbi.nlm.nih.gov/nuccore/KM388818
ON022716	2004-11-26	Clade VI	South America	Brazil	Homo sapiens	Hill et al.	ON022716	https://www.ncbi.nlm.nih.gov/nuccore/ON022716
PV710597	2025-02-20	Clade VI	South America	Brazil	Homo sapiens	das Gracas Dantas Andrade et al.	PV710597	https://www.ncbi.nlm.nih.gov/nuccore/PV710597
PV710593	2025-02-20	Clade VI	South America	Brazil	Homo sapiens	das Gracas Dantas Andrade et al.	PV710593	https://www.ncbi.nlm.nih.gov/nuccore/PV710593
PV710600	2025-02-25	Clade VI	South America	Brazil	Homo sapiens	das Gracas Dantas Andrade et al.	PV710600	https://www.ncbi.nlm.nih.gov/nuccore/PV710600
PV710591	2025-02-20	Clade VI	South America	Brazil	Homo sapiens	das Gracas Dantas Andrade et al.	PV710591	https://www.ncbi.nlm.nih.gov/nuccore/PV710591
PV710595	2025-02-20	Clade VI	South America	Brazil	Homo sapiens	das Gracas Dantas Andrade et al.	PV710595	https://www.ncbi.nlm.nih.gov/nuccore/PV710595
PV710601	2025-02-28	Clade VI	South America	Brazil	Homo sapiens	das Gracas Dantas Andrade et al.	PV710601	https://www.ncbi.nlm.nih.gov/nuccore/PV710601
PV710594	2025-02-19	Clade VI	South America	Brazil	Homo sapiens	das Gracas Dantas Andrade et al.	PV710594	https://www.ncbi.nlm.nih.gov/nuccore/PV710594
PV710604	2025-03-10	Clade VI	South America	Brazil	Homo sapiens	das Gracas Dantas Andrade et al.	PV710604	https://www.ncbi.nlm.nih.gov/nuccore/PV710604
PV710603	2025-03-05	Clade VI	South America	Brazil	Homo sapiens	das Gracas Dantas Andrade et al.	PV710603	https://www.ncbi.nlm.nih.gov/nuccore/PV710603
PV710602	2025-03-04	Clade VI	South America	Brazil	Homo sapiens	das Gracas Dantas Andrade et al.	PV710602	https://www.ncbi.nlm.nih.gov/nuccore/PV710602
OP508573	2020-12-08	Clade VI	South America	Brazil	Alouatta caraya	Giovanetti et al.	OP508573	https://www.ncbi.nlm.nih.gov/nuccore/OP508573
OP508575	2020-11-06	Clade VI	South America	Brazil	Alouatta caraya	Giovanetti et al.	OP508575	https://www.ncbi.nlm.nih.gov/nuccore/OP508575
OP508572	2020-12-03	Clade VI	South America	Brazil	Alouatta caraya	Giovanetti et al.	OP508572	https://www.ncbi.nlm.nih.gov/nuccore/OP508572
OP508571	2020-12-03	Clade VI	South America	Brazil	Callithrix penicillata	Giovanetti et al.	OP508571	https://www.ncbi.nlm.nih.gov/nuccore/OP508571
OP508574	2020-11-06	Clade VI	South America	Brazil	Alouatta caraya	Giovanetti et al.	OP508574	https://www.ncbi.nlm.nih.gov/nuccore/OP508574
OP508576	2021-09-14	Clade VI	South America	Brazil		Giovanetti et al.	OP508576	https://www.ncbi.nlm.nih.gov/nuccore/OP508576
OQ572696	2021-09-30	Clade VI	South America	Brazil	Sabethes chloropterus	de Oliveira et al.	OQ572696	https://www.ncbi.nlm.nih.gov/nuccore/OQ572696
OQ572695	2021-09-30	Clade VI	South America	Brazil	Sabethes chloropterus	de Oliveira et al.	OQ572695	https://www.ncbi.nlm.nih.gov/nuccore/OQ572695
OL519589	2021-08-25	Clade VI	South America	Brazil	Alouatta caraya	Andrade et al.	OL519589	https://www.ncbi.nlm.nih.gov/nuccore/OL519589
OP508580	2022-01-17	Clade VI	South America	Brazil		Giovanetti et al.	OP508580	https://www.ncbi.nlm.nih.gov/nuccore/OP508580
OP508584	2022-01-19	Clade VI	South America	Brazil		Giovanetti et al.	OP508584	https://www.ncbi.nlm.nih.gov/nuccore/OP508584
OP508577	2022-01-17	Clade VI	South America	Brazil		Giovanetti et al.	OP508577	https://www.ncbi.nlm.nih.gov/nuccore/OP508577
OP508578	2022-01-17	Clade VI	South America	Brazil		Giovanetti et al.	OP508578	https://www.ncbi.nlm.nih.gov/nuccore/OP508578
OP508589	2022-01-17	Clade VI	South America	Brazil		Giovanetti et al.	OP508589	https://www.ncbi.nlm.nih.gov/nuccore/OP508589
OP508588	2022-03-12	Clade VI	South America	Brazil		Giovanetti et al.	OP508588	https://www.ncbi.nlm.nih.gov/nuccore/OP508588
OP508582	2022-01-18	Clade VI	South America	Brazil		Giovanetti et al.	OP508582	https://www.ncbi.nlm.nih.gov/nuccore/OP508582
OP508583	2022-01-17	Clade VI	South America	Brazil		Giovanetti et al.	OP508583	https://www.ncbi.nlm.nih.gov/nuccore/OP508583
OP508585	2022-01-17	Clade VI	South America	Brazil		Giovanetti et al.	OP508585	https://www.ncbi.nlm.nih.gov/nuccore/OP508585
OP508586	2022-01-17	Clade VI	South America	Brazil		Giovanetti et al.	OP508586	https://www.ncbi.nlm.nih.gov/nuccore/OP508586
OP508581	2022-01-18	Clade VI	South America	Brazil		Giovanetti et al.	OP508581	https://www.ncbi.nlm.nih.gov/nuccore/OP508581
PV563871	2025-01-09	Clade VI	South America	Brazil	Aedes albopictus	Sacchi et al.	PV563871	https://www.ncbi.nlm.nih.gov/nuccore/PV563871
PQ879118	2024-12-26	Clade VI	South America	Brazil		Sacchi et al.	PQ879118	https://www.ncbi.nlm.nih.gov/nuccore/PQ879118
PV563872	2025-01-09	Clade VI	South America	Brazil	Aedes albopictus	Sacchi et al.	PV563872	https://www.ncbi.nlm.nih.gov/nuccore/PV563872
PQ879117	2024-12-26	Clade VI	South America	Brazil		Sacchi et al.	PQ879117	https://www.ncbi.nlm.nih.gov/nuccore/PQ879117
PQ879116	2024-12-26	Clade VI	South America	Brazil		Sacchi et al.	PQ879116	https://www.ncbi.nlm.nih.gov/nuccore/PQ879116
PQ879115	2024-12-26	Clade VI	South America	Brazil		Sacchi et al.	PQ879115	https://www.ncbi.nlm.nih.gov/nuccore/PQ879115
OR052147	2023-04-28	Clade VI	South America	Brazil	Homo sapiens	Sacchi et al.	OR052147	https://www.ncbi.nlm.nih.gov/nuccore/OR052147
OQ675592	2023-02-24	Clade VI	South America	Brazil	Callicebus nigrifrons	Sacchi et al.	OQ675592	https://www.ncbi.nlm.nih.gov/nuccore/OQ675592
PV710589	2024-04-03	Clade VI	South America	Brazil	Primates	das Gracas Dantas Andrade et al.	PV710589	https://www.ncbi.nlm.nih.gov/nuccore/PV710589
PV710592	2024-10-21	Clade VI	South America	Brazil	Primates	das Gracas Dantas Andrade et al.	PV710592	https://www.ncbi.nlm.nih.gov/nuccore/PV710592
PV710590	2024-10-21	Clade VI	South America	Brazil	Primates	das Gracas Dantas Andrade et al.	PV710590	https://www.ncbi.nlm.nih.gov/nuccore/PV710590
PV710588	2024-05-13	Clade VI	South America	Brazil	Primates	das Gracas Dantas Andrade et al.	PV710588	https://www.ncbi.nlm.nih.gov/nuccore/PV710588
PV710585	2024-08-13	Clade VI	South America	Brazil	Primates	das Gracas Dantas Andrade et al.	PV710585	https://www.ncbi.nlm.nih.gov/nuccore/PV710585
PV710583	2025-01-24	Clade VI	South America	Brazil	Primates	das Gracas Dantas Andrade et al.	PV710583	https://www.ncbi.nlm.nih.gov/nuccore/PV710583
PV710582	2025-02-07	Clade VI	South America	Brazil	Primates	das Gracas Dantas Andrade et al.	PV710582	https://www.ncbi.nlm.nih.gov/nuccore/PV710582
PV454340	2025-03-19	Clade VI	South America	Brazil	Sapajus sp.	Sacchi et al.	PV454340	https://www.ncbi.nlm.nih.gov/nuccore/PV454340
PQ602526	2024-09-18	Clade VI	South America	Brazil		Sacchi et al.	PQ602526	https://www.ncbi.nlm.nih.gov/nuccore/PQ602526
PQ963937	2024-12-20	Clade VI	South America	Brazil		Sacchi et al.	PQ963937	https://www.ncbi.nlm.nih.gov/nuccore/PQ963937
PV563866	2025-02-17	Clade VI	South America	Brazil	Homo sapiens	Sacchi et al.	PV563866	https://www.ncbi.nlm.nih.gov/nuccore/PV563866
PV710581	2025-01-20	Clade VI	South America	Brazil	Primates	das Gracas Dantas Andrade et al.	PV710581	https://www.ncbi.nlm.nih.gov/nuccore/PV710581
PV454339	2025-03-12	Clade VI	South America	Brazil		Sacchi et al.	PV454339	https://www.ncbi.nlm.nih.gov/nuccore/PV454339
PV563868	2025-03-02	Clade VI	South America	Brazil	Homo sapiens	Sacchi et al.	PV563868	https://www.ncbi.nlm.nih.gov/nuccore/PV563868
PV563865	2025-02-12	Clade VI	South America	Brazil	Homo sapiens	Sacchi et al.	PV563865	https://www.ncbi.nlm.nih.gov/nuccore/PV563865
ON022410	2017-04-06	Clade VI	South America	Brazil	Callithrix penicillata	Hill et al.	ON022410	https://www.ncbi.nlm.nih.gov/nuccore/ON022410
ON022419	2017-11-05	Clade VI	South America	Brazil	Primates	Hill et al.	ON022419	https://www.ncbi.nlm.nih.gov/nuccore/ON022419
ON022376	2018-04-11	Clade VI	South America	Brazil	Alouatta	Hill et al.	ON022376	https://www.ncbi.nlm.nih.gov/nuccore/ON022376
MT497520	2016-10-10	Clade VI	South America	Brazil	Sapajus sp.	Hill et al.	MT497520	https://www.ncbi.nlm.nih.gov/nuccore/MT497520
ON022311	2016-12-19	Clade VI	South America	Brazil	Primates	Hill et al.	ON022311	https://www.ncbi.nlm.nih.gov/nuccore/ON022311
MH666056	2016-11-16	Clade VI	South America	Brazil	Alouatta sp.	Cunha et al.	MH666056	https://www.ncbi.nlm.nih.gov/nuccore/MH666056
ON022288	2016-11-16	Clade VI	South America	Brazil	Primates	Hill et al.	ON022288	https://www.ncbi.nlm.nih.gov/nuccore/ON022288
ON022700	2016-11-17	Clade VI	South America	Brazil	Alouatta	Hill et al.	ON022700	https://www.ncbi.nlm.nih.gov/nuccore/ON022700
MT497523	2016-11-16	Clade VI	South America	Brazil	Alouatta sp.	Hill et al.	MT497523	https://www.ncbi.nlm.nih.gov/nuccore/MT497523
MF370549	2015-08-26	Clade VI	South America	Brazil	Simiiformes	Cardoso et al.	MF370549	https://www.ncbi.nlm.nih.gov/nuccore/MF370549
ON022445	2018-01-22	Clade VI	South America	Brazil	Callithrix	Hill et al.	ON022445	https://www.ncbi.nlm.nih.gov/nuccore/ON022445
ON022271	2018-01-16	Clade VI	South America	Brazil	Homo sapiens	Hill et al.	ON022271	https://www.ncbi.nlm.nih.gov/nuccore/ON022271
ON022420	2017-12-13	Clade VI	South America	Brazil	Alouatta caraya	Hill et al.	ON022420	https://www.ncbi.nlm.nih.gov/nuccore/ON022420
ON022462	2018-04-13	Clade VI	South America	Brazil	Callithrix	Hill et al.	ON022462	https://www.ncbi.nlm.nih.gov/nuccore/ON022462
ON502435	2017-01-06	Clade VI	South America	Brazil	Homo sapiens	Adelino et al.	ON502435	https://www.ncbi.nlm.nih.gov/nuccore/ON502435
ON502417	2018-01-20	Clade VI	South America	Brazil	Homo sapiens	Adelino et al.	ON502417	https://www.ncbi.nlm.nih.gov/nuccore/ON502417
ON502406	2017-01-21	Clade VI	South America	Brazil	Homo sapiens	Adelino et al.	ON502406	https://www.ncbi.nlm.nih.gov/nuccore/ON502406
MH560359	2017-01-31 (2017-01-04 - 2017-01-31)	Clade VI	South America	Brazil	Homo sapiens	Figueiredo et al.	MH560359	https://www.ncbi.nlm.nih.gov/nuccore/MH560359
MF370536	2016-09-02	Clade VI	South America	Brazil	Alouatta sp.	Cruz et al.	MF370536	https://www.ncbi.nlm.nih.gov/nuccore/MF370536
ON022259	2018-01-02	Clade VI	South America	Brazil	Callithrix penicillata	Hill et al.	ON022259	https://www.ncbi.nlm.nih.gov/nuccore/ON022259
MF370534	2016-04-05	Clade VI	South America	Brazil	Callithrix penicillata	Cruz et al.	MF370534	https://www.ncbi.nlm.nih.gov/nuccore/MF370534
MF370533	2017-01-11	Clade VI	South America	Brazil	Homo sapiens	Cruz et al.	MF370533	https://www.ncbi.nlm.nih.gov/nuccore/MF370533
MN643089	2017-10-19	Clade VI	South America	Brazil	Alouatta guariba	Abreu et al.	MN643089	https://www.ncbi.nlm.nih.gov/nuccore/MN643089
MN506281	2017-04-26	Clade VI	South America	Brazil		Abreu et al.	MN506281	https://www.ncbi.nlm.nih.gov/nuccore/MN506281
MK583168	2018-02-11	Clade VI	South America	Brazil	Homo sapiens	Cunha et al.	MK583168	https://www.ncbi.nlm.nih.gov/nuccore/MK583168
MN506280	2017-05-07	Clade VI	South America	Brazil		Abreu et al.	MN506280	https://www.ncbi.nlm.nih.gov/nuccore/MN506280
ON022433	2018-02-26	Clade VI	South America	Brazil	Alouatta	Hill et al.	ON022433	https://www.ncbi.nlm.nih.gov/nuccore/ON022433
MH018084	2017-02-09	Clade VI	South America	Brazil	Callithrix sp.	Faria et al.	MH018084	https://www.ncbi.nlm.nih.gov/nuccore/MH018084
ON022530	2018-01-25	Clade VI	South America	Brazil	Primates	Hill et al.	ON022530	https://www.ncbi.nlm.nih.gov/nuccore/ON022530
ON022533	2018-02-11	Clade VI	South America	Brazil	Homo sapiens	Hill et al.	ON022533	https://www.ncbi.nlm.nih.gov/nuccore/ON022533
ON022520	2017-03-07	Clade VI	South America	Brazil	Homo sapiens	Hill et al.	ON022520	https://www.ncbi.nlm.nih.gov/nuccore/ON022520
ON022442	2018-04-17	Clade VI	South America	Brazil	Callithrix	Hill et al.	ON022442	https://www.ncbi.nlm.nih.gov/nuccore/ON022442
MK333804	2015-08-17	Clade VI	South America	Brazil	Sapajus libidinosus	Delatorre et al.	MK333804	https://www.ncbi.nlm.nih.gov/nuccore/MK333804
OQ932915	2016-09-24	Clade VI	South America	Brazil	Haemagogus janthinomys	Cruz et al.	OQ932915	https://www.ncbi.nlm.nih.gov/nuccore/OQ932915
ON022302	2016-11-03	Clade VI	South America	Brazil	Culicidae	Hill et al.	ON022302	https://www.ncbi.nlm.nih.gov/nuccore/ON022302
ON022301	2016-11-03	Clade VI	South America	Brazil	Culicidae	Hill et al.	ON022301	https://www.ncbi.nlm.nih.gov/nuccore/ON022301
ON022300	2016-11-03	Clade VI	South America	Brazil	Culicidae	Hill et al.	ON022300	https://www.ncbi.nlm.nih.gov/nuccore/ON022300
ON022600	2016-12-13	Clade VI	South America	Brazil	Alouatta	Hill et al.	ON022600	https://www.ncbi.nlm.nih.gov/nuccore/ON022600
ON022703	2016-11-04	Clade VI	South America	Brazil	Alouatta	Hill et al.	ON022703	https://www.ncbi.nlm.nih.gov/nuccore/ON022703
ON022611	2017-04-17	Clade VI	South America	Brazil	Primates	Hill et al.	ON022611	https://www.ncbi.nlm.nih.gov/nuccore/ON022611
MT497521	2016-10-13	Clade VI	South America	Brazil	Alouatta sp.	Hill et al.	MT497521	https://www.ncbi.nlm.nih.gov/nuccore/MT497521
ON022698	2016-11-16	Clade VI	South America	Brazil	Alouatta	Hill et al.	ON022698	https://www.ncbi.nlm.nih.gov/nuccore/ON022698
ON022702	2016-11-07	Clade VI	South America	Brazil	Sapajus	Hill et al.	ON022702	https://www.ncbi.nlm.nih.gov/nuccore/ON022702
ON022701	2016-11-17	Clade VI	South America	Brazil	Alouatta	Hill et al.	ON022701	https://www.ncbi.nlm.nih.gov/nuccore/ON022701
ON022696	2019-01-15	Clade VI	South America	Brazil	Alouatta	Hill et al.	ON022696	https://www.ncbi.nlm.nih.gov/nuccore/ON022696
OQ714324	2018-01-04	Clade VI	South America	Brazil	Primates	Claro et al.	OQ714324	https://www.ncbi.nlm.nih.gov/nuccore/OQ714324
MT497522	2016-11-15	Clade VI	South America	Brazil	Alouatta sp.	Hill et al.	MT497522	https://www.ncbi.nlm.nih.gov/nuccore/MT497522
MW034590	2016-11-01	Clade VI	South America	Brazil	Alouatta caraya	Siconelli et al.	MW034590	https://www.ncbi.nlm.nih.gov/nuccore/MW034590
ON022390	2017-04-06	Clade VI	South America	Brazil	Alouatta caraya	Hill et al.	ON022390	https://www.ncbi.nlm.nih.gov/nuccore/ON022390
ON022312	2018-03-24	Clade VI	South America	Brazil	Callithrix	Hill et al.	ON022312	https://www.ncbi.nlm.nih.gov/nuccore/ON022312
MK583156	2018-01-23	Clade VI	South America	Brazil	Homo sapiens	Cunha et al.	MK583156	https://www.ncbi.nlm.nih.gov/nuccore/MK583156
ON022667	2017-12-20	Clade VI	South America	Brazil	Primates	Hill et al.	ON022667	https://www.ncbi.nlm.nih.gov/nuccore/ON022667
ON022648	2017-09-20	Clade VI	South America	Brazil	Alouatta	Hill et al.	ON022648	https://www.ncbi.nlm.nih.gov/nuccore/ON022648
ON022563	2019-01-20	Clade VI	South America	Brazil	Homo sapiens	Hill et al.	ON022563	https://www.ncbi.nlm.nih.gov/nuccore/ON022563
ON022560	2019-02-06	Clade VI	South America	Brazil	Homo sapiens	Hill et al.	ON022560	https://www.ncbi.nlm.nih.gov/nuccore/ON022560
ON022344	2018-02-01	Clade VI	South America	Brazil	Alouatta	Hill et al.	ON022344	https://www.ncbi.nlm.nih.gov/nuccore/ON022344
OQ714245	2018-01-11	Clade VI	South America	Brazil	Culicidae	Claro et al.	OQ714245	https://www.ncbi.nlm.nih.gov/nuccore/OQ714245
OQ714293	2018-01-15	Clade VI	South America	Brazil	Primates	Claro et al.	OQ714293	https://www.ncbi.nlm.nih.gov/nuccore/OQ714293
OQ714277	2017-12-12	Clade VI	South America	Brazil	Primates	Claro et al.	OQ714277	https://www.ncbi.nlm.nih.gov/nuccore/OQ714277
OQ714315	2017-12-23	Clade VI	South America	Brazil	Primates	Claro et al.	OQ714315	https://www.ncbi.nlm.nih.gov/nuccore/OQ714315
OQ714308	2017-12-27	Clade VI	South America	Brazil	Primates	Claro et al.	OQ714308	https://www.ncbi.nlm.nih.gov/nuccore/OQ714308
OQ714244	2018-01-11	Clade VI	South America	Brazil	Culicidae	Claro et al.	OQ714244	https://www.ncbi.nlm.nih.gov/nuccore/OQ714244
MK760660	2018-01-11	Clade VI	Europe	Netherlands	Homo sapiens	Phan et al.	MK760660	https://www.ncbi.nlm.nih.gov/nuccore/MK760660
MK760666	2018-01-12	Clade VI	Europe	Netherlands	Homo sapiens	Phan et al.	MK760666	https://www.ncbi.nlm.nih.gov/nuccore/MK760666
MK760665	2018-01-19	Clade VI	Europe	Netherlands	Homo sapiens	Phan et al.	MK760665	https://www.ncbi.nlm.nih.gov/nuccore/MK760665
MK760664	2018-01-14	Clade VI	Europe	Netherlands	Homo sapiens	Phan et al.	MK760664	https://www.ncbi.nlm.nih.gov/nuccore/MK760664
MK760661	2018-01-11	Clade VI	Europe	Netherlands	Homo sapiens	Phan et al.	MK760661	https://www.ncbi.nlm.nih.gov/nuccore/MK760661
MK760663	2018-01-13	Clade VI	Europe	Netherlands	Homo sapiens	Phan et al.	MK760663	https://www.ncbi.nlm.nih.gov/nuccore/MK760663
MK760662	2018-01-12	Clade VI	Europe	Netherlands	Homo sapiens	Phan et al.	MK760662	https://www.ncbi.nlm.nih.gov/nuccore/MK760662
ON022295	2018-04-23	Clade VI	South America	Brazil	Haemagogus leucocelaenus	Hill et al.	ON022295	https://www.ncbi.nlm.nih.gov/nuccore/ON022295
ON022583	2018-06-05	Clade VI	South America	Brazil	Alouatta	Hill et al.	ON022583	https://www.ncbi.nlm.nih.gov/nuccore/ON022583
MZ604851	2019-01-01 (2019-01-01 - 2019-10-21)	Clade VI	South America	Brazil	Homo sapiens	Salles et al.	MZ604851	https://www.ncbi.nlm.nih.gov/nuccore/MZ604851
MZ604867	2019-08-06 (2019-01-01 - 2019-12-31)	Clade VI	South America	Brazil	Homo sapiens	Salles et al.	MZ604867	https://www.ncbi.nlm.nih.gov/nuccore/MZ604867
MZ604850	2019-02-10 (2019-01-01 - 2019-12-31)	Clade VI	South America	Brazil	Homo sapiens	Salles et al.	MZ604850	https://www.ncbi.nlm.nih.gov/nuccore/MZ604850
ON022676	2019-04-16	Clade VI	South America	Brazil	Primates	Hill et al.	ON022676	https://www.ncbi.nlm.nih.gov/nuccore/ON022676
MZ604874	2019-02-07 (2019-01-01 - 2019-12-31)	Clade VI	South America	Brazil	Homo sapiens	Salles et al.	MZ604874	https://www.ncbi.nlm.nih.gov/nuccore/MZ604874
MZ604852	2019-02-07 (2019-01-01 - 2019-12-31)	Clade VI	South America	Brazil	Homo sapiens	Salles et al.	MZ604852	https://www.ncbi.nlm.nih.gov/nuccore/MZ604852
MZ604839	2019-01-01 (2019-01-01 - 2019-10-06)	Clade VI	South America	Brazil	Homo sapiens	Salles et al.	MZ604839	https://www.ncbi.nlm.nih.gov/nuccore/MZ604839
MZ604846	2019-12-31 (2019-04-14 - 2019-12-31)	Clade VI	South America	Brazil	Homo sapiens	Salles et al.	MZ604846	https://www.ncbi.nlm.nih.gov/nuccore/MZ604846
OP508708	2021-02-22	Clade VI	South America	Brazil	Alouatta sp.	Giovanetti et al.	OP508708	https://www.ncbi.nlm.nih.gov/nuccore/OP508708
OP508706	2020-01-21	Clade VI	South America	Brazil		Giovanetti et al.	OP508706	https://www.ncbi.nlm.nih.gov/nuccore/OP508706
MZ604871	2019-04-11 (2019-01-01 - 2019-12-31)	Clade VI	South America	Brazil	Homo sapiens	Salles et al.	MZ604871	https://www.ncbi.nlm.nih.gov/nuccore/MZ604871
MZ604857	2019-01-01 (2019-01-01 - 2019-09-27)	Clade VI	South America	Brazil	Homo sapiens	Salles et al.	MZ604857	https://www.ncbi.nlm.nih.gov/nuccore/MZ604857
OP508688	2019-04-29	Clade VI	South America	Brazil	Alouatta sp.	Giovanetti et al.	OP508688	https://www.ncbi.nlm.nih.gov/nuccore/OP508688
MW308135	2019-01-20	Clade VI	South America	Brazil	Homo sapiens	Cunha et al.	MW308135	https://www.ncbi.nlm.nih.gov/nuccore/MW308135
MZ604843	2019-02-01 (2019-01-01 - 2019-12-31)	Clade VI	South America	Brazil	Homo sapiens	Salles et al.	MZ604843	https://www.ncbi.nlm.nih.gov/nuccore/MZ604843
MZ604847	2019-02-01 (2019-01-01 - 2019-12-31)	Clade VI	South America	Brazil	Homo sapiens	Salles et al.	MZ604847	https://www.ncbi.nlm.nih.gov/nuccore/MZ604847
MZ604838	2019-01-01 (2019-01-01 - 2019-09-26)	Clade VI	South America	Brazil	Homo sapiens	Salles et al.	MZ604838	https://www.ncbi.nlm.nih.gov/nuccore/MZ604838
